Escuela,Cant. Reservas,Años,Cant. Años,Último Año,Contacto (último),Teléfono (último),Email,Niveles,Total Chicos,Sección,Otros Contactos,Otros Teléfonos
J 2 HURLGHAN,1,2019,1,2.019,ANABELA,11593878 40  114057 11 29,,J,30,Teatro,,
J 2 SENDERO,1,2018,1,2.018,laura,4452 7441 1140571129,,j,30,Teatro,,
J 4 VILLA URQUIZA,1,2018,1,2.018,SILVANA,4524 2400   153114 4801,,J,38,Teatro,,
J 5 VICENTE LOPEZ,1,2019,1,2.019,KARINA,4580 6248 1569 532325,,J,75,Teatro,,
J 8 LA LUCILA,1,2017,1,2.017,MARINA,156377 9138,,J,47,Teatro,,
J 9 MITRE,1,2017,1,2.017,NATALIA,4772 6356,,J,64,Teatro,,
J 901 MARTINEZ,1,2017,1,2.017,MIRIAM,1551 410264,,J,26,Teatro,,
J 902 HURLINGHAN,1,2019,1,2.019,ALEJANDRA,113796 4986,,J,48,Teatro,,
J 904 V SARMIENTO,1,2017,1,2.017,CLAUDIA,4654 8644,,J,31,Teatro,,
J 907 V ADELINA,1,2017,1,2.017,MARIANA,4766 3127,,J,25,Teatro,,
J 909 ESCOBAR,1,2019,1,2.019,KARINA,0348 4477944  0348 154533466,,J,50,Teatro,,
J 909 SAN ISIDRO,1,2017,1,2.017,MARIA,4441 0595,,J,60,Teatro,,
J 909 SAN JUSTO,1,2017,1,2.017,MARIZA,4441 0595,,J,55,Teatro,,
J 910 VTE LOPEZ,1,2017,1,2.017,CAROLINA,4708 9073,,J,31,Teatro,,
J 915 QUILMES,1,2017,1,2.017,ALEJANDRA,4254 9270,,J,31,Teatro,,
J 917 HURLINGHAN,1,2017,1,2.017,VERONICA,4665 0305,,J,50,Teatro,,
J 926 HAEDO,1,2017,1,2.017,FLORENCIA,153100 8382,,J,30,Teatro,,
J 927 SAN MARTIN,1,2017,1,2.017,MARIA INES,4729 1070,,J,30,Teatro,,
J 936,1,2017,1,2.017,NANCY,4848 0295,,J,30,Teatro,,
J D DIST 7,1,2019,1,2.019,MARITE,4958 5413  1561 422739,,J,40,Teatro,,
J DAMASO CENTENO,1,2018,1,2.018,MARIA ELENA,4771 9637   154066 4594,,J,84,Teatro,,
J DE LOS CAMINOS,1,2018,1,2.018,ADRIANA,4542 8526  155042 8578,,J,18,Teatro,,
J DE SAN MARTIN,1,2017,1,2.017,SILVIA SIANCIO,4664 4977,,2,32,Teatro,,
J I HURLINGHAN,1,2017,1,2.017,MARIEL,4452 7444,,J,60,Teatro,,
J PUERTA ABIERTA,1,2018,1,2.018,EVELIN,4792 1943,,J,18,Teatro,,
J. DE SAN MARTIN,1,2017,1,2.017,SILVIA SIANCIO,4664 4977,,2,32,Teatro,,
J15 VICENTE LOPEZ,1,2019,1,2.019,VIRGINIA,5197 1919  1568 072917,,J,38,Teatro,,
J2 SENDERO,1,2018,1,2.018,LAURA,4452 7441  1140571129,,J,30,Teatro,,
J2 SENDERO DE LUNA,1,2018,1,2.018,LAURA,4452 7441  1140571129,,J,30,Teatro,,
J911 FLORIDA,1,2017,1,2.017,CELINA 4791 6994,4581 4640,,J,22,Teatro,,
J930 V ZAPIOLA,1,2017,1,2.017,ANALIA,4769 4632,,J,31,Teatro,,
J930 V ZAPIOLA 7 JULIO,1,2017,1,2.017,ANALIA,4769 4632,,J,31,Teatro,,
JAR DE LA CUADRA $90000,1,2025,1,2.025,MARIA JOSE||,1167422915,,J,18,Teatro,,
JARDIN 1020 LA MATANZA,1,2017,1,2.017,VIVIANA,4482 1010,,J,90,Teatro,,
JARDIN 2 HURLINGHAN,1,2019,1,2.019,LAURA,4452 7441  114057 1129,,J,29,Teatro,,
JARDIN 4 HURLINGAHN,1,2019,1,2.019,SILVIA,4452 7439  1167007976,,J,28,Teatro,,
JARDIN 4 HURLINGHAN,1,2018,1,2.018,SILVIA,4452 7439  116700 7976,,J,30,Teatro,,
JARDIN 7 DIST 2,1,2019,1,2.019,GABRIELA,4867 6991 1561975168,,J,30,Teatro,,
JARDIN DE LOS CAMINOS,1,2019,1,2.019,ADRIANA,4542 8526  1150428578,,J,25,Teatro,,
JARDIN DEL SOL,1,2025,1,2.025,DANIELA ALVAREZ DIRECTORA,1158931367,,,,Viajera,,
JARDIN ESTRELLITA $90.000,1,2025,1,2.025,LORENA FUNES,1150962223,,J,37,Teatro,,
JARDIN KARIBU $90.000,1,2025,1,2.025,VERO,1150057904,,J,25,Teatro,,
JARDIN MONIGOTE,1,2018,1,2.018,ELIANA,4790 3487  153095 9178,,J,31,Teatro,,
JARDIN UBA $90.000,1,2025,1,2.025,1155845770,E7 YANI,,J,34,Teatro,,
JARDIN VICENTE LOPEZ,1,2019,1,2.019,ROMINA DIRE,4513 9879 1540655935,,J,94,Teatro,,
JARDINAR (3063782527,1,2025,1,2.025,UCA NEVARES,1159112685,,2,22,Teatro,,
JARDÍN NEWMAN,1,2025,1,2.025,CHECHI BARRENECHEA,1157640919,,,,Viajera,,
JB 7 DIST 10,1,2018,1,2.018,NATALIA,4904 2175  1551552179,,J,28,Teatro,,
JESUS MARIA LONG CHAMP,1,2017,1,2.017,ROMINA,4297 3739,,SEC,70,Teatro,,
JEZABEL CHAMORRO,1,2025,1,2.025,PAGADO $18.000,1165147163,,JARDIN,2,Teatro,,
JI 15 ESC 2,1,2019,1,2.019,ESTELA,4521 0068  116952 5451,,J,52,Teatro,,
JI HURLINGHAN,1,2019,1,2.019,MARIEL DIRE,4452 7444  1556610297,,J,56,Teatro,,
JIC C2 DIST 17,1,2017,1,2.017,ANALIA,15512 52189,,J,53,Teatro,,
JII 1 DIST 12,1,2017,1,2.017,MARIELA,155423 1443,,J,25,Teatro,,
JII 2 AGRONOMIA,1,2017,1,2.017,CECILIA,4572 0792,,J,66,Teatro,,
JIN  9 DIST 10,1,2019,1,2.019,ELENA,4544 0791  1569267214,,J,30,Teatro,,
JIN 11 DIST 7,1,2022,1,2.022,MARITE,51972975 1561422739,,J,40,Teatro,,
JIN 11 Y 21 DIST 7,1,2019,1,2.019,MARITE,5197 2975  156142 2739,,J,58,Teatro,,
JIN 14 DIST 15,1,2019,1,2.019,RITA,4523 8811  153184 6249,,J,55,Teatro,,
JIN 16 DIST 17,1,2019,1,2.019,SILVIA LA MATITA,155932 4860,,J,30,Teatro,,
JIN 2 DIST 20,1,2018,1,2.018,LAURA MARIANA,4642 7712   155226233,,J,72,Teatro,,
JIN 5 DIST 7,1,2018,1,2.018,VALERIA,4981 6762  1551 809900,,J,21,Teatro,,
JIN A 17 DIST 15,1,2017,1,2.017,SILVIA,4521 0068,,J,31,Teatro,,
JIN A 4 DIST 12,1,2019,1,2.019,CAROLINA,4582 0957  1530646240,,J,60,Teatro,,
JIN A 7 DIST9,1,2022,1,2.022,TAMARA,1168753222,,J,24,Teatro,,
JIN A DIST 7,1,2019,1,2.019,MARITRE,495854 13  156142 2739,,J,40,Teatro,,
JIN A ESC 10 DIS 9,1,2018,1,2.018,CARLA,4778 0264  15659 55746,,J,47,Teatro,,
JIN B 20 DIST 7,1,2018,1,2.018,CELESTE,4904 2175  155314 7622,,J,38,Teatro,,
JIN B DIST 2,1,2019,1,2.019,MARIEL HELLER,4862 4453  1550000469,,J,27,Teatro,,
JIN B DIST 7,1,2017,1,2.017,TERESA,4904 2175,,J,100,Teatro,,
JIN D 14,1,2019,1,2.019,CECILIA VICE,4581 0546  1558217724,,J,40,Teatro,,
JIN D 14 DIST 9,1,2017,1,2.017,MARIA BEATRIZ,4777 6107,,J,40,Teatro,,
JIN D 4 DIST 12,1,2019,1,2.019,ADRIANA,43582 0957  1555 8355 02,,J,60,Teatro,,
JIN D ESC 11 DIST 7,1,2018,1,2.018,MARITE,5197 2975  15614 22739,,J,40,Teatro,,
JIN2 DIST 16,1,2018,1,2.018,CECILIA,4572 0792  156350 6916,,J,85,Teatro,,
JIN3 DIST 10,1,2017,1,2.017,PATRICIA,4788 8319,,J,60,Teatro,,
JIN4 DIST 18,1,2019,1,2.019,VERONICA,4567 7991  153907 5372,,J,70,Teatro,,
JINA DIST 14 ESC 10,1,2017,1,2.017,MIRIAM,4584 2823,,J,26,Teatro,,
JINA DIST 5,1,2018,1,2.018,CECILIA,4307 6901   15386 08250,,J,76,Teatro,,
JINA DIST 9,1,2018,1,2.018,TAMARA,4555 5432  15687532 22,,J,50,Teatro,,
JINB 5 DIST 7,1,2018,1,2.018,GANRIELA,4982 9706 11582178 56,,J,29,Teatro,,
JINB ESC 6,1,2018,1,2.018,ANDREA,5197 2366  156721 8010,,J,48,Teatro,,
JINC 17 DIST 2,1,2019,1,2.019,FLORENCIA,4867 2749  1564858178,,J,29,Teatro,,
JINC C 11 DIST 2,1,2019,1,2.019,JULIETA NAVARRO,4867 2749  1554928268,,J,58,Teatro,,
JINC ESC 19 DIST 10,1,2017,1,2.017,PAULA,4545 3783,,J,35,Teatro,,
JIND 24 DIST 17,1,2019,1,2.019,MARIA FERNANDA,4567 8257  15560 52083,,J,40,Teatro,,
JOSE HERNANDEZ BALLESTER,1,2025,1,2.025,FER,1160101348,,,56,Teatro,,
JOSE INGENIEROS  $112.000,1,2025,1,2.025,DIANA,1144090857,,1,29,Teatro,,
JOSE M MORENO,1,2017,1,2.017,ROXANA,4665 4296,,J,35,Teatro,,
"JOSÉ HERNANDEZ, BALLESTER",1,2025,1,2.025,FER,1160101343,,2,73,Teatro,,
JOSÉ MANUEL ESTRADA 100000,1,2025,1,2.025,PATRICIA AGENCIA,1165590564,,2,24,Teatro,,
JUGUET,1,2017,1,2.017,109,121,,,112,Teatro,,
JUGUET LIBERT,1,2025,1,2.025,DIANA,1135747878,,,,Viajera,,
JUGUETERIA Y LIBERTADORES,1,2025,1,2.025,NATI,1155604649,,,,Viajera,,
JUGUETRI,1,2017,1,2.017,112,118,,,105,Teatro,,
JUGUETRIA,1,2019,1,2.019,27,257,,,240,Teatro,,
LA ADLEA,1,2017,1,2.017,CARLA TONIETO,4702 8042,,34567,97,Teatro,,
LA ALDEA $90.000,1,2025,1,2.025,CAMILA,1155974017,,4 Y 5TO,37,Teatro,,
LA CASITA DE ANGIE,1,2018,1,2.018,KARINA,15595 81591,,J,40,Teatro,,
LA FOCA REVOLTOSA,1,2017,1,2.017,BARBARA,4637 9515,,J,26,Teatro,,
LA GRAN SEMANA DE MAYO,1,2024,1,2.024,FLORIDA DAY SCHOOL,1130081122,karina.raymundo@fds.esc.edu.ar,,,Viajera,,
LA JUGUETERIA,1,2025,1,2.025,VERONICA,1159204354,,,,Viajera,,
LA PAZ,1,2017,1,2.017,natalia,4602 9300,,1,37,Teatro,,
LA PEQUEÑA,1,2025,1,2.025,MARCELA,,,,,Viajera,,
LA PULPERIA Y GRAN SEMANA,1,2025,1,2.025,PAOLA CRISTALDO,45840390,,,,Viajera,,
LA SALETTE,1,2019,1,2.019,ANALIA,4542 2389  1568085651,,3,42,Teatro,,
LANGUELEY  $90.000,1,2025,1,2.025,SOFIA,1126661450,,1,59,Teatro,,
LENGUAS VIVA DIST 1,1,2017,1,2.017,MARIELA,4393 4132,,2,60,Teatro,,
LENGUAS VIVAS 4132 INT 123,1,2017,1,2.017,MARIELA FLAVIA,439 3698,,2,60,Teatro,,
LEONCITOS,1,2018,1,2.018,CAROLINA TRANSP,15491 47580,,J,30,Teatro,,
LIBERT,1,2017,1,2.017,25,205,,,200,Teatro,,
LIBERTADORES Y JUGUETERÍA,1,2025,1,2.025,ANA MARIA,1157675059,,,,Viajera,,
LIIGI PIRANDELLO $90.000,1,2025,1,2.025,SILVIA,1540818938,,5,55,Teatro,,
LIJAN PORTEÑO,1,2017,1,2.017,KARINA,4612 9541,,J,24,Teatro,,
LIMERICK,1,2017,1,2.017,LAURA,4612 3833,,J,27,Teatro,,
LOGOSOFICO,1,2019,1,2.019,CLAUDIA,4924 3119  155638 8930,,2,30,Teatro,,
LOS ANGELES,1,2017,1,2.017,CINTIA 4305 7428,4305 7399,,SEC,40,Teatro,,
LUCERO,1,2024,1,2.024,GISELLA,1141962876,,ESPEC,22,Teatro,,
LUCERO DEL ALBA (ESPECIAL),1,2025,1,2.025,MARIA BARRERA,1156693097,,5,17,Teatro,,
LUCIA DUMONT,1,2022,1,2.022,PUBLICO,,,,3,Teatro,,
LUIGI PIRANDELLO $90.000.-,1,2025,1,2.025,SILVIA,1140818938,,6,58,Teatro,,
LUIS F LELOIR,1,2018,1,2.018,GABRIELA DELGADO,4692 0027  1558302385,,2,40,Teatro,,
M DILLON,1,2024,1,2.024,LU,1121899885,,3,103,Teatro,,
M NAZARETH,1,2017,1,2.017,ADRIANA,4541 6058,,J,50,Teatro,,
M. Bianchi de Copello,1,2018,1,2.018,MARIA LAURA,4806 9135  1131763577,,J,28,Teatro,,
MAC ALLISTER,1,2018,1,2.018,YANINA,1541158 8474,,123,46,Teatro,,
MADRE DE EMIGRANTES,1,2019,1,2.019,CLAUDIA,4361 6593 1561239126,,4,36,Teatro,,
MANZONI CCITALIANO,1,2019,1,2.019,SONIA DECESARE,4766 7398  1565179054,,1,41,Teatro,,
MARIA AUXILIA,1,2017,1,2.017,CLAUDIA,4924 3119,,1,66,Teatro,,
MARIA AUXILIADORA,1,2018,1,2.018,CLAUDIA,4924 3119  15563 88930,,1,65,Teatro,,
MARIA REINA MORON,1,2017,1,2.017,CAROLINA,154914 7580,,1,56,Teatro,,
MARIANISTA 15 PAGAS,1,2024,1,2.024,LORE,1169488459,,1,120,Teatro,,
MARISTA BLEGRANO,1,2017,1,2.017,CLARA VICE INT 118,4784 065 INT 171,,2,134,Teatro,,
MARTIN Y OMAR,1,2018,1,2.018,DIEGO,4743 6888   1561908155,,2,66,Teatro,,
MARTIN YOMAR,1,2019,1,2.019,DIEGO,4743 6888  15618908155,,2,60,Teatro,,
MATER DOLOROSA,1,2018,1,2.018,GABRIELA,4501 0476   155515 1271,,123,90,Teatro,,
MECKI BALLESTER,1,2018,1,2.018,MARGARITA,4768 3430   1566482772,,J,20,Teatro,,
MECKY,1,2018,1,2.018,MARGARITA,4768 3430  15664827 72,,J,19,Teatro,,
MELODY,1,2025,1,2.025,PAGADAS,1149409601,,,2,Teatro,,
MICHAEL HAM,1,2019,1,2.019,VIVIANA,4874 3100  153859 99 367,,4,80,Teatro,,
MIGUEL GUEMES BOULO,1,2019,1,2.019,MARIA,4766 0360   156839 0047,,56,90,Teatro,,
MIGUEL HERNANDEZ,1,2022,1,2.022,IANELA,1136204818,,123,65,Teatro,,
MILTON ITUZAINGO,1,2022,1,2.022,MARIA JOSE,1159264645,,1,30,Teatro,,
MILTON ITUZAINGO  pago total,1,2025,1,2.025,LULI,1139124342,,1,31,Teatro,,
MIRADOR ESCUELA,1,2019,1,2.019,JESICA,4501 9742  1564998280,,1,42,Teatro,,
MISERICORDIA RECOLETA,1,2019,1,2.019,VANINA,4805 6703  153394 6136,,4,56,Teatro,,
MISRICORDIA,1,2019,1,2.019,JULIA,48055578 15 58336146,,5,45,Teatro,,
MODELO 2000,1,2018,1,2.018,ALICIA ZELAYA,4200 4634  155845 2107,,4,49,Teatro,,
MODELO ARGENTINO,1,2017,1,2.017,MONICA,4880 6556,,J,35,Teatro,,
MODELO SARMIENYO,1,2019,1,2.019,LUPE,4683 1620  155762 2487,,,31,Teatro,,
MONDONGO,1,2025,1,2.025,ANDREA BURGOS,45678392 INT 107,,,,Viajera,,
MONSEÑOR DILLON,1,2018,1,2.018,FERNANDA INT 128,4581 4159 154193 6106,,3,102,Teatro,,
MONSEÑOR DILON,1,2019,1,2.019,FERNANDA,4581 4159  154193 6106,,1,92,Teatro,,
MORULLI,1,2018,1,2.018,SILVANA,4545 6802  156043 1553,,J,100,Teatro,,
MUNDO NIÑOS,1,2017,1,2.017,ANA,4432 9347,,J,21,Teatro,,
MURRUGANGTO,1,2022,1,2.022,KARINA,1121834031,,J,52,Teatro,,
MURRUGATO,1,2017,1,2.017,LAURA,4521 3320,,J,46,Teatro,,
N SRA MISERICORDIA,1,2018,1,2.018,ANDREA,4911 0783  115639 9613,,J,60,Teatro,,
NICHIA. ARGENTINO JAPONES,1,2025,1,2.025,ROMINA,1162660133,,3,47,Teatro,,
NORBRIDGE,1,2019,1,2.019,CLAIDIA,4541 6444 1536057978,,2,64,Teatro,,
NORMAL 2 DIST 6,1,2019,1,2.019,JAQUELIN,4931 7893  1554 663005,,1,62,Teatro,,
NORMAL 7,1,2018,1,2.018,ADRRIANA,4861 2535 INT 102   156784 2597,,12,85,Teatro,,
NORTH HILLS,1,2018,1,2.018,SILVINA,O230 4666008  1532149211,,3,63,Teatro,,
NORTHHILS,1,2024,1,2.024,VIVALDI Y CAMAÑO,1132149211,sgarciaferrer@colegionorthills.com.ar,,,Viajera,,
NTA SR itati,1,2019,1,2.019,LILIAN,11524 73678,,3,33,Teatro,,
NTA SRA ASUNCION,1,2017,1,2.017,LILIANA,115247 3678,,3,73,Teatro,,
NTA SRA DE GRACIAS,1,2017,1,2.017,CLAUDIA,4918 2570,,4,24,Teatro,,
NTA SRA DE LAS NIEVES,1,2017,1,2.017,LIDIA,4641 4171,,J,75,Teatro,,
NTA SRA DE LUJAN,1,2018,1,2.018,ANALIA,4631 1989  1164637631,,123,84,Teatro,,
NTA SRA DEL ROSARIO,1,2022,1,2.022,ALDANA,1159561104,,3,42,Teatro,,
NTA SRA DEL VALLE,1,2019,1,2.019,LUCIANA,4451 3898  1164388747,,3,33,Teatro,,
NTA SRA GRACIAS,1,2017,1,2.017,ROXANA,,,J,27,Teatro,,
NTA SRA LUJAN FLORES,1,2018,1,2.018,ANALIA,4631 1989  116463 7631,,123,45,Teatro,,
NTA SRA LUJAN PQUE PATRICIOS,1,2025,1,2.025,SOL RODRIGUEZ,1164601563,,2,29,Teatro,,
NTA SRA MISERIC,1,2018,1,2.018,CARLA,4631 0316   156631 2001,,J,26,Teatro,,
NTA SRA MISERICOR,1,2018,1,2.018,CARLA,4631 0316  1566312001,,J,26,Teatro,,
NTA SRA PILAR,1,2018,1,2.018,TERU,4807 3641 1561642063,,12,76,Teatro,,
NTA SRA ROSARIO POMPEYA,1,2024,1,2.024,ANTONELA,1168686597,,2,52,Teatro,,
NTA SRA SOCORRO,1,2017,1,2.017,MELINA,4567 1175,,2,54,Teatro,,
NTRA SRA LOURDES,1,2019,1,2.019,VIVIANA TRANSPORT,115178 9048,,5,105,Teatro,,
NTRA SRA LUJAN PQUE PATRICIOS,1,2025,1,2.025,SOL RODRIGUEZ,1164601563,,2,16,Teatro,,
NTRA SRA MISERICORDIA,1,2019,1,2.019,JULIA,4805 5478  155833 6146,,2,35,Teatro,,
NTRS SRA MILAGROS,1,2022,1,2.022,ANALIA,1565409659,,5,30,Teatro,,
NTRS SRA ROSARIO,1,2022,1,2.022,KARINA,1132825510,,5,56,Teatro,,
NUESTRA SRA ROSARIO,1,2019,1,2.019,CARLOS,4755 4934 155054 0676,,4,28,Teatro,,
Ntra. Sra misericordia,1,2022,1,2.022,MARIA JOSE,1131223011,,1,43,Teatro,,
OAK HILL HICE FACTURA,1,2025,1,2.025,MARIA,1158979858,,J,43,Teatro,,
OAK HILL NUÑEZ,1,2024,1,2.024,PADRE CANAVERI 7557,1159204354,,,,Viajera,,
OBLIGADA,1,2025,1,2.025,ALICIA NELSON,2215316917,,,,Viajera,,
OBLIGADA ESTAB LA VUELTA,1,2025,1,2.025,VERONICA,1155982757,,,,Viajera,,
OJO 18 DIST 6,1,2017,1,2.017,MARCELA,156738 5863,,3,60,Teatro,,
OJO 23 DIT 18,1,2019,1,2.019,GERMAN,1523080 364,,4,40,Teatro,,
OLIVOS DEL SOL,1,2019,1,2.019,IRMA,15406 57042,,4,61,Teatro,,
OXFORD,1,2017,1,2.017,LAURA,4581 4640,,J,22,Teatro,,
P SOCORRO,1,2019,1,2.019,CELESTE,4567 1177  1563088 669,,2,56,Teatro,,
PAERMO CHICO,1,2018,1,2.018,CAROLINA,4774 3970  156742  6970,,3,54,Teatro,,
PATOCINIO SAN JOSE,1,2019,1,2.019,CECILIA,4784 4500   155905 4123,,J,28,Teatro,,
PATROCINIO SAN JOSÉ,1,2022,1,2.022,SOFI,1150177050,,45,57,Teatro,,
PATROCINIO SANJOSE,1,2018,1,2.018,MARIA LAURA,4784 4500 15409 66229,,1,80,Teatro,,
PEQUEÑO CORAZON,1,2019,1,2.019,139,91,,,82,Teatro,,
PEQUEÑO CORAZÓN,1,2019,1,2.019,57,287,,,259,Teatro,,
PETCOCHE,1,2018,1,2.018,MAIA,4824 2389  155695 1440,,24,56,Teatro,,
PEÑALOZA,1,2019,1,2.019,LUCAS,15381985 91,,SEC,79,Teatro,,
PINOCHO,1,2017,1,2.017,GISEL,155951 6303,,J,30,Teatro,,
PROVIDENCIA,1,2018,1,2.018,ANDREA,4305 8077  1166214970,,J,33,Teatro,,
PULPERÍA Y GRAN SEMANA,1,2025,1,2.025,SANDRA,1124571649,,,,Viajera,,
RACHELE COURTS,1,2025,1,2.025,RACHELE,1126663938,,,2,Teatro,,
RAYITO DE SOL 90.000,1,2025,1,2.025,ANTONELLA,1131241447,,J,25,Teatro,,
RESURRECCIÓN,1,2025,1,2.025,MARICRUZ,1153071327,,123,76,Teatro,,
ROCA,1,2017,1,2.017,LILIANA,1530 849003,,2,80,Teatro,,
ROCA HURLIGHAN,1,2018,1,2.018,LILIANA,153084 9003 TRANSP,,1,90,Teatro,,
ROCA HURLINGHAN,1,2017,1,2.017,LILIANA,153084 9003,,1,90,Teatro,,
RUBEN DARIO,1,2017,1,2.017,GABRIELA,4768 5623,,2,61,Teatro,,
RYANS,1,2017,1,2.017,TERESA,156657 7437,,4,18,Teatro,,
S.MAXILIMILIAN KOLBE,1,2018,1,2.018,MARGARITA,4551 5555  156910 4327,,123,75,Teatro,,
SACRATISIMO,1,2018,1,2.018,LAURA ojo,1530 177436,,4,60,Teatro,,
SAGRAD FAMILIA,1,2017,1,2.017,TERESA,4601 1105,,SEC,60,Teatro,,
SAINT MARTIN,1,2019,1,2.019,FABIANA,4780 2050  1551113273,,3,29,Teatro,,
SAINT MARTIN IN THE FIELD,1,2018,1,2.018,MARIAN A,47802 050    1549388558,,123,83,Teatro,,
SAN ALFONSO,1,2017,1,2.017,ELIANA,4981 6615,,1,65,Teatro,,
SAN ALFONSO B VIS,1,2017,1,2.017,NANCY VERA,4668 4010,,4,61,Teatro,,
SAN AMTONIO,1,2017,1,2.017,CRISTINA,4762 5021,,1,37,Teatro,,
SAN ANT DE PADUA,1,2017,1,2.017,GABRIEA,4918 0640,,4,34,Teatro,,
SAN ANTONIO DEVOTO,1,2018,1,2.018,TAMARA,4501 9652  155485 0569,,J,40,Teatro,,
SAN ANTONIO MUNRO,1,2018,1,2.018,CRISTINA |4509 6464,4762 5021  156450 6352,,2,34,Teatro,,
SAN BENITO PALERMO,1,2019,1,2.019,MAGALI,1561 678939,,4567,71,Teatro,,
SAN C. BORROMEO $90.000,1,2025,1,2.025,ANA,1163063373,,2,45,Teatro,,
SAN CAYETANO BELG,1,2019,1,2.019,FLORENCIA KARINA,4783 0889  153310 2700,,J,28,Teatro,,
SAN COSME,1,2025,1,2.025,EUGENIA,1164458663,,5,29,Teatro,,
SAN FRANCISCO J,1,2018,1,2.018,ANGIE,4831 02333  1561111839,,12,118,Teatro,,
SAN ISIDRO,1,2024,1,2.024,PAULA,1164778869,,2,53,Teatro,,
SAN ISIDRO LAB,1,2017,1,2.017,LUCIA,155402 3941,,4,63,Teatro,,
SAN JOSE,1,2024,1,2.024,LUCITA,1132473029,,4,30,Teatro,,
SAN JOSE DEVOTO,1,2019,1,2.019,EVELIN,4501 1125  15306933 55,,4,60,Teatro,,
SAN JOSE OBRERO CASEROS,1,2017,1,2.017,DANIELA,153183 2958,,SEC,26,Teatro,,
SAN JOSE PALABRA DIOS,1,2019,1,2.019,MELINA,477 0891  1530712811,,,33,Teatro,,
SAN LADISLAO,1,2017,1,2.017,NANCY BELMONTE,4799 5044,,J,19,Teatro,,
SAN MARRTIN DE TOURS,1,2024,1,2.024,ANALIA,1168061706,,12,71,Teatro,,
SAN MART,1,2017,1,2.017,82,148,,,136,Teatro,,
SAN MARTIN,1,2024,1,2.024,DON TORCUATO,1141985660,colegiosanmartinprimaria@yahoo.com.,,,Viajera,,
SAN MARTIN  5 PAGAS,1,2024,1,2.024,JOSE (SEÑA F),1134627006,,1,57,Teatro,,
SAN MARTIN ITUZAINGO,1,2022,1,2.022,ADRIANA,1169257472,,123,93,Teatro,,
SAN MATEO,1,2019,1,2.019,MARCELA ISEIRA,4790 8211 1568306885,,3,34,Teatro,,
SAN NICOLAS,1,2017,1,2.017,SILVIA AREIZ,4790 5111,,1,59,Teatro,,
SAN NICOLAS OLIVOS,1,2019,1,2.019,SILVIA,4790 5111  1541 856590,,2,49,Teatro,,
SAN PABLO $90.000.-,1,2025,1,2.025,MICA,1135592256,,J,44,Teatro,,
SAN PATRICIO,1,2018,1,2.018,FLORENCIA,4545 7746  15306 00203,,2,72,Teatro,,
SAN PEDRO NOLASCO,1,2025,1,2.025,SOL,1136066275,,J,37,Teatro,,
SAN VICEBNTE PAUL,1,2019,1,2.019,AEJANDRA,4635 3792  1556606822,,3,26,Teatro,,
SAN VICENTE PALOTI,1,2018,1,2.018,GISELA,156780 4982,,46,50,Teatro,,
SAN VIVENTE PAUL,1,2019,1,2.019,ELIZABETH,4635 3792  154194 7677,,3,30,Teatro,,
SAN VTE DE PAUL POMP,1,2018,1,2.018,ANDREA,4911 0783  1156399613,,2,29,Teatro,,
SANTA CATALINA,1,2022,1,2.022,VALERIA 45524353,1551162429,,2,63,Teatro,,
SANTA CRUZ,1,2019,1,2.019,CLAUDIA,4924 3119    1556388 930,,,105,Teatro,,
SANTA HILDA,1,2024,1,2.024,ISABEL LA CATOLICA 1710,44526647129,mcarbonell@sthildas.esc.edu.ar,,,Viajera,,
SANTÍSIMO,1,2024,1,2.024,ROXANA,1149913109,,4,23,Teatro,,
SARMIENTO,1,2024,1,2.024,LUPE,91030133015,emsprimaria@gmail.com,,,Viajera,,
SARMIENTO HURLINGHAN,1,2018,1,2.018,LILIANA,1530 84 9003 TRANSPORT,,12,55,Teatro,,
SCHILER SCHULE,1,2017,1,2.017,MARIANA,4501 5929,,J,33,Teatro,,
SEC 2 LOMA HERMOSA,1,2018,1,2.018,EUGENIA,4739 0216 116531 4974,,SEC,60,Teatro,,
SENDERO LUNA,1,2018,1,2.018,LAURA,4452 7441 114057 1129,,J,30,Teatro,,
SENDEROS,1,2018,1,2.018,BELEN,4551 5624  1556 301777,,7,26,Teatro,,
SEPTIEMBRE,1,2024,1,2.024,GISELLE,1168224243,,5Y6,33,Teatro,,
SGO CORAZÓN ALMAGRO,1,2025,1,2.025,ANA OTERO,1156648036,,J,27,Teatro,,
SHANROCK $90.000,1,2025,1,2.025,PATRICIA,1168894250,,J,24,Teatro,,
SIGLO 21 ITUZAINGO,1,2019,1,2.019,FABIANA,4621 0616  1533582375,,6,42,Teatro,,
SJESUS EN EL HUERTO,1,2018,1,2.018,FABIANA,156498 9563,,2,51,Teatro,,
ST MARGARETH,1,2018,1,2.018,NATALIA,4551 2000  15570571 90,,2,42,Teatro,,
ST MARTIN IN THE FIELD,1,2019,1,2.019,DANIELA,4780 2050  153670 2930,,J,37,Teatro,,
ST MARTIN IN THE HILL,1,2022,1,2.022,JOSEFINA,1134627006,,123,78,Teatro,,
ST MARTIN IN THE HILS,1,2022,1,2.022,SILVIA,1569825309,,4,30,Teatro,,
ST PATRICK,1,2019,1,2.019,GLADIS,4545 7466  154172 5746,,2,80,Teatro,,
STA MAGADALENA,1,2017,1,2.017,MARIA,4790 3881,,1,27,Teatro,,
STA MARGARITA BELGR,1,2017,1,2.017,SILVIA TERNE,15621 88911,,2,25,Teatro,,
